"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-07T21:00:00","1996-05-07","0.318","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-08T18:00:00","1996-05-08","0.321","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-10T06:30:00","1996-05-10","0.337","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-10T09:00:00","1996-05-10","0.331","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-12T01:00:00","1996-05-12","0.321","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-13T06:15:00","1996-05-13","0.321","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-14T07:45:00","1996-05-14","0.321","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-14T10:00:00","1996-05-14","0.318","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-15T12:15:00","1996-05-15","0.315","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-16T09:15:00","1996-05-16","0.309","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-17T09:00:00","1996-05-17","0.309","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-18T09:30:00","1996-05-18","0.306","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-20T07:15:00","1996-05-20","0.309","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-20T13:30:00","1996-05-20","0.318","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-21T15:00:00","1996-05-21","0.34","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-23T08:30:00","1996-05-23","0.34","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-23T09:00:00","1996-05-23","0.334","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-24T16:45:00","1996-05-24","0.334","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-25T11:45:00","1996-05-25","0.343","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-27T05:45:00","1996-05-27","0.337","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-27T12:15:00","1996-05-27","0.346","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-29T06:15:00","1996-05-29","0.337","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-29T16:30:00","1996-05-29","0.343","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-31T00:45:00","1996-05-31","0.346","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-31T09:30:00","1996-05-31","0.346","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-01T13:30:00","1996-06-01","0.343","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-02T19:00:00","1996-06-02","0.331","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-03T14:30:00","1996-06-03","0.331","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-04T09:00:00","1996-06-04","0.327","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-06T08:00:00","1996-06-06","0.318","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-06T09:00:00","1996-06-06","0.315","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-07T12:00:00","1996-06-07","0.324","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-08T09:15:00","1996-06-08","0.324","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-10T05:15:00","1996-06-10","0.461","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-10T13:45:00","1996-06-10","0.268","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-12T02:15:00","1996-06-12","0.293","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-12T10:45:00","1996-06-12","0.296","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-13T09:45:00","1996-06-13","0.268","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-15T00:00:00","1996-06-15","0.262","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-15T22:15:00","1996-06-15","0.259","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-17T08:45:00","1996-06-17","0.253","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-17T12:45:00","1996-06-17","0.271","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-18T09:15:00","1996-06-18","0.253","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-20T08:15:00","1996-06-20","0.256","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-21T08:45:00","1996-06-21","0.259","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-21T13:15:00","1996-06-21","0.259","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-22T09:30:00","1996-06-22","0.249","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-23T13:15:00","1996-06-23","0.246","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-24T09:00:00","1996-06-24","0.243","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-25T09:15:00","1996-06-25","0.231","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-26T16:00:00","1996-06-26","0.234","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-28T08:30:00","1996-06-28","0.228","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-29T07:30:00","1996-06-29","0.256","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-29T09:30:00","1996-06-29","0.259","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-06-30T15:45:00","1996-06-30","0.256","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-01T17:30:00","1996-07-01","0.237","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-02T16:45:00","1996-07-02","0.24","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-03T16:45:00","1996-07-03","0.253","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-04T13:45:00","1996-07-04","0.262","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-05T11:00:00","1996-07-05","0.249","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-06T09:00:00","1996-07-06","0.234","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-07T09:30:00","1996-07-07","0.231","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-08T14:15:00","1996-07-08","0.225","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-09T14:00:00","1996-07-09","0.234","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-10T16:45:00","1996-07-10","0.231","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-11T09:15:00","1996-07-11","0.237","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-12T17:15:00","1996-07-12","0.215","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-13T16:45:00","1996-07-13","0.228","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-14T09:15:00","1996-07-14","0.215","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-15T09:30:00","1996-07-15","0.209","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-16T09:15:00","1996-07-16","0.19","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-17T20:00:00","1996-07-17","0.184","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-19T02:45:00","1996-07-19","0.184","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-19T20:45:00","1996-07-19","0.175","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-20T20:45:00","1996-07-20","0.175","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-22T05:30:00","1996-07-22","0.321","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-22T09:30:00","1996-07-22","0.318","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-24T08:30:00","1996-07-24","0.377","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-24T15:00:00","1996-07-24","0.396","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-25T09:00:00","1996-07-25","0.368","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-26T13:00:00","1996-07-26","0.377","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-27T09:00:00","1996-07-27","0.371","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-28T10:45:00","1996-07-28","0.365","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-29T14:45:00","1996-07-29","0.365","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-31T08:45:00","1996-07-31","0.371","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-07-31T09:00:00","1996-07-31","0.371","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-01T18:00:00","1996-08-01","0.374","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-02T18:45:00","1996-08-02","0.362","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-03T09:30:00","1996-08-03","0.352","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-04T09:15:00","1996-08-04","0.337","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-05T23:00:00","1996-08-05","0.337","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-07T08:15:00","1996-08-07","0.346","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-07T13:45:00","1996-08-07","0.355","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-08T21:30:00","1996-08-08","0.334","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-09T13:00:00","1996-08-09","0.331","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-11T04:15:00","1996-08-11","0.465","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-12T02:45:00","1996-08-12","0.29","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-13T08:45:00","1996-08-13","0.293","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-13T09:00:00","1996-08-13","0.29","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-14T12:30:00","1996-08-14","0.287","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-15T09:45:00","1996-08-15","0.274","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-16T18:45:00","1996-08-16","0.281","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-17T09:00:00","1996-08-17","0.265","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-08-18T21:00:00","1996-08-18","0.256","Complete","Unchecked",""
